"","evangelical","attend","prayschool","literal","male","white","coldeg","repubid","age"
"552",0,0,0,0,0,0,0,1,62
"553",0,2,0,0,0,0,0,1,48
"554",0,5,1,0,0,1,0,1,41
"555",0,3,0,0,0,0,0,1,31
"556",0,8,0,1,0,0,0,3,37
"557",1,1,0,0,0,1,0,1,40
"558",1,8,0,1,0,0,0,3,32
"559",0,3,1,0,0,0,0,3,27
"560",0,1,0,1,0,1,0,3,19
"561",0,3,1,0,0,1,1,2,48
"562",0,3,1,0,1,1,1,5,39
"563",0,0,1,0,1,1,0,3,21
"564",0,7,0,0,0,1,0,3,70
"565",0,7,0,1,0,1,0,6,48
"566",0,6,1,0,0,1,0,6,44
"567",0,6,0,0,0,1,1,4,63
"568",0,4,1,0,1,1,1,3,43
"569",0,7,0,0,0,0,0,1,36
"570",0,4,1,0,1,0,1,1,29
"571",0,0,1,0,0,0,0,1,51
"572",0,0,0,0,1,0,0,3,40
"573",0,7,0,0,1,0,1,1,62
"574",0,5,1,0,0,0,0,1,33
"575",0,2,0,0,1,1,0,5,82
"576",0,7,0,0,0,0,0,0,59
"577",0,3,0,0,0,1,0,1,49
"578",0,8,0,1,0,0,0,0,41
"579",1,8,0,0,0,0,0,4,35
"580",0,0,0,0,0,0,0,3,25
"581",0,1,1,0,1,0,0,3,19
"582",0,3,0,0,1,0,0,0,63
"583",1,4,0,0,1,0,0,1,37
"584",0,0,0,0,0,0,0,3,47
"585",0,4,1,0,0,0,0,0,19
"586",0,3,0,0,1,1,1,4,29
"587",0,7,1,1,0,0,0,4,43
"588",0,5,1,0,1,0,1,3,25
"589",0,1,0,0,1,1,1,6,35
"590",0,4,0,0,0,1,0,3,53
"591",0,4,0,0,0,1,0,1,49
"592",1,7,0,1,1,1,0,3,45
"593",0,2,1,0,0,1,0,0,52
"594",0,5,0,0,0,1,0,4,36
"595",0,5,0,0,1,1,0,5,36
"596",0,0,0,0,1,1,0,3,41
"597",0,2,0,0,0,1,0,3,33
"598",0,5,0,0,0,1,0,4,62
"599",0,3,1,0,0,1,0,3,34
"600",1,8,0,1,0,1,0,4,48
"601",0,2,0,0,0,1,0,3,38
"602",0,2,0,0,1,1,0,3,54
"603",0,0,1,0,0,1,0,1,32
"604",0,5,0,1,1,0,0,0,38
"605",0,4,0,0,0,0,0,1,39
"606",0,2,0,1,0,0,0,0,19
"607",0,0,0,0,1,0,0,3,27
"608",0,0,1,0,0,1,1,3,23
"609",0,1,0,0,1,0,0,3,22
"610",0,4,0,0,0,1,0,6,40
"611",0,0,0,0,1,1,0,5,33
"612",0,0,0,1,1,1,1,5,24
"613",0,3.26471028597095,1,0,1,1,1,5,41
"614",0,1,1,0,1,1,0,5,51
"615",0,4,1,0,1,1,1,5,37
"616",1,4,0,0,1,1,1,1,51
"617",0,0,0,0,1,1,1,0,54
"618",0,0,0,0,1,1,1,3,23
"619",0,8,0,0,1,1,0,4,63
"620",0,7,0,1,0,1,1,6,52
"621",0,5,0,0,0,0,1,1,27
"622",0,7,0,0,1,1,0,5,35
"623",0,0,0,0,1,1,0,3,47
"624",0,2,0,0,1,1,0,4,23
"625",0,0,0,0,1,1,0,1,47
"626",0,6,0,1,0,0,1,0,37
"627",0,5,1,0,0,0,0,5,28
"628",0,5,0,1,1,0,1,4,35
"629",0,5,0,0,0,0,0,3,48
"630",0,0,1,0,0,1,0,1,72
"631",0,3,1,0,0,1,0,4,57
"632",0,2,0,0,1,1,1,0,40
"633",0,0,1,1,0,0,0,2,36
"634",0,2.39943208707998,0,0,0,1,1,4,65
"635",0,0,0,1,0,1,0,3,56
"636",0,6,0,0,1,1,0,1,55
"637",0,0,1,0,0,1,0,3,23
"638",0,0,0,0,0,1,0,2,84
"639",0,5,0,0,0,0,0,0,62
"640",0,0,1,0,0,1,1,3,40
"641",0,1,1,0,0,1,0,1,42
"642",0,7,0,0,0,1,0,4,47
"643",1,8,0,0,0,1,0,3,53
"644",0,1,0,0,0,1,1,3,26
"645",0,5,0,0,0,1,0,2,25
"646",0,1,1,0,1,1,0,2,64
"647",0,0,0,0,1,1,0,1,40
"648",0,5,0,1,1,0,0,4,24
